陕西移动,#genre#
CCTV-14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225784/index.m3u8
CCTV-17,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226208/index.m3u8
中国教育1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225753/index.m3u8
中国教育2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225756/index.m3u8
中国教育3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/index.m3u8
中国教育4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226225/index.m3u8
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225790/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
河北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225750/index.m3u8
山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225763/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225786/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225772/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225792/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226220/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225789/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225746/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225773/index.m3u8
东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225766/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226219/index.m3u8
江西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225771/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225767/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225760/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225787/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225757/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225752/index.m3u8
广西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225770/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8
三沙卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225791/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225793/index.m3u8
四川卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225768/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226234/index.m3u8
云南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226212/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
宁夏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225748/index.m3u8
青海卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226228/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226214/index.m3u8
金鹰卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225744/index.m3u8
优漫卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226227/index.m3u8
中央新影老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/index.m3u8
中央新影老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227118/index.m3u8
中央新影中学生,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227132/index.m3u8
书画,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227129/index.m3u8
财富天下,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226350/index.m3u8
快乐购,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226353/index.m3u8
优购物,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227115/index.m3u8
西安新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/index.m3u8
西安都市频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226367/index.m3u8
西安商务资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
西安戏剧影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/index.m3u8
西安丝路频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226370/index.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
西安阎良,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227034/index.m3u8
西安临潼,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227062/index.m3u8
西安长安,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226985/index.m3u8
西安高陵,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227031/index.m3u8
西安鄠邑,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227008/index.m3u8
西安蓝田,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227011/index.m3u8
西安周至,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226988/index.m3u8
铜川1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226379/index.m3u8
铜川2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
铜川宜君,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226974/index.m3u8
铜川耀州,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226977/index.m3u8
宝鸡1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
宝鸡2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/index.m3u8
宝鸡千阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226945/index.m3u8
宝鸡岐山,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226982/index.m3u8
宝鸡扶风,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227005/index.m3u8
宝鸡眉县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227069/index.m3u8
宝鸡麟游,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227072/index.m3u8
宝鸡太白,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227083/index.m3u8
宝鸡陈仓,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227086/index.m3u8
宝鸡凤县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227089/index.m3u8
宝鸡陇县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227092/index.m3u8
咸阳综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226372/index.m3u8
咸阳公共,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227060/index.m3u8
咸阳兴平,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226971/index.m3u8
咸阳泾阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226979/index.m3u8
咸阳永寿,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227040/index.m3u8
咸阳武功,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227043/index.m3u8
咸阳杨凌,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8
咸阳礼泉综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227065/index.m3u8
咸阳礼泉影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227068/index.m3u8
咸阳乾县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227066/index.m3u8
咸阳三原,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8
咸阳长武,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227074/index.m3u8
