北京联通组播,#genre#
CETV-2,http://qqdwtypm.f3322.org:4022/udp/239.3.1.54:4120
CETV-3,http://qqdwtypm.f3322.org:4022/udp/239.3.1.55:4120
CETV-4,http://qqdwtypm.f3322.org:4022/udp/239.3.1.56:4120
收视指南,http://qqdwtypm.f3322.org:4022/udp/239.3.1.193:8012
热播剧场,http://qqdwtypm.f3322.org:4022/udp/239.3.1.194:9020
经典电影,http://qqdwtypm.f3322.org:4022/udp/239.3.1.195:9024
魅力时尚,http://qqdwtypm.f3322.org:4022/udp/239.3.1.196:9012
少儿动画,http://qqdwtypm.f3322.org:4022/udp/239.3.1.199:9000
城市剧场,http://qqdwtypm.f3322.org:4022/udp/239.3.1.67:4120
军旅剧场,http://qqdwtypm.f3322.org:4022/udp/239.3.1.68:4120
古装剧场,http://qqdwtypm.f3322.org:4022/udp/239.3.1.69:4120
音乐现场,http://qqdwtypm.f3322.org:4022/udp/239.3.1.70:4120
地理,http://qqdwtypm.f3322.org:4022/udp/239.3.1.71:4120
美妆,http://qqdwtypm.f3322.org:4022/udp/239.3.1.72:4120
美人,http://qqdwtypm.f3322.org:4022/udp/239.3.1.73:4120
精选,http://qqdwtypm.f3322.org:4022/udp/239.3.1.74:4120
解密,http://qqdwtypm.f3322.org:4022/udp/239.3.1.75:4120
军事,http://qqdwtypm.f3322.org:4022/udp/239.3.1.76:4120
国学,http://qqdwtypm.f3322.org:4022/udp/239.3.1.77:4120
戏曲,http://qqdwtypm.f3322.org:4022/udp/239.3.1.78:4120
早教,http://qqdwtypm.f3322.org:4022/udp/239.3.1.79:4120
动画,http://qqdwtypm.f3322.org:4022/udp/239.3.1.80:4120
好学生,http://qqdwtypm.f3322.org:4022/udp/239.3.1.81:4120
鉴赏,http://qqdwtypm.f3322.org:4022/udp/239.3.1.82:4120
墨宝,http://qqdwtypm.f3322.org:4022/udp/239.3.1.83:4120
